ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genre,Country,Language,IMDb,IMDb_ID,RottenTomatoes_Score,Age_Min,IMDb_Score,Type_raw,Genre_clean,Title_key
102,A Twelve-Year Night,2018,18+,83/100,1,0,0,0,movie,"Adventure, Biography, Crime","Uruguay, Spain, Argentina, France, Germany",Spanish,7.5,tt6792282,83.0,18.0,7.5,0,"Adventure, Biography, Crime",a twelve-year night
103,Dumplin',2018,13+,83/100,1,0,0,0,movie,"Comedy, Drama",United States,English,6.5,tt4878482,83.0,13.0,6.5,0,"Comedy, Drama",dumplin'
104,The Conjuring,2013,18+,83/100,1,0,0,0,movie,"Horror, Mystery, Thriller",United States,"English, Latin",7.5,tt1457767,83.0,18.0,7.5,0,"Horror, Mystery, Thriller",the conjuring
105,Marriage Story,2019,18+,83/100,1,0,0,0,movie,"Drama, Romance","United Kingdom, United States","English, Spanish",7.9,tt7653254,83.0,18.0,7.9,0,"Drama, Romance",marriage story
106,My Octopus Teacher,2020,all,83/100,1,0,0,0,movie,"Documentary, Drama",South Africa,English,8.1,tt12888462,83.0,16.0,8.1,0,"Documentary, Drama",my octopus teacher
107,About Time,2013,13+,83/100,1,0,0,0,movie,"Comedy, Drama, Fantasy","United Kingdom, United States",English,7.8,tt2194499,83.0,13.0,7.8,0,"Comedy, Drama, Fantasy",about time
108,Hey Arnold! The Jungle Movie,2017,7+,83/100,1,1,0,0,movie,drama film,United States,English,7.0,tt0245844,83.0,7.0,7.0,0,Drama Film,hey arnold! the jungle movie
109,Kung Fu Panda,2008,7+,83/100,1,0,0,0,movie,"Animation, Action, Adventure","United States, Japan, China, Russia","English, Japanese, Chinese",7.6,tt0441773,83.0,7.0,7.6,0,"Animation, Action, Adventure",kung fu panda
110,Superbad,2007,18+,83/100,1,0,0,0,movie,Comedy,United States,English,7.6,tt0829482,83.0,18.0,7.6,0,Comedy,superbad
111,The Invisible Guest,2016,18+,83/100,1,0,0,0,movie,"Crime, Drama, Mystery",Spain,"Spanish, English",8.0,tt4857264,83.0,18.0,8.0,0,"Crime, Drama, Mystery",the invisible guest
112,Chinatown,1974,18+,82/100,1,0,0,0,movie,"Drama, Mystery, Thriller",United States,"English, Cantonese, Spanish",8.1,tt0071315,82.0,18.0,8.1,0,"Drama, Mystery, Thriller",chinatown
113,Mystic River,2003,18+,82/100,1,0,0,0,movie,"Crime, Drama, Mystery","United States, Australia",English,7.9,tt0327056,82.0,18.0,7.9,0,"Crime, Drama, Mystery",mystic river
114,The Theory of Everything,2014,13+,82/100,1,0,0,0,movie,"Biography, Drama, Romance","United Kingdom, Japan, United States","English, French, Ukrainian",7.7,tt2980516,82.0,13.0,7.7,0,"Biography, Drama, Romance",the theory of everything
115,Springsteen On Broadway,2018,18+,82/100,1,0,0,0,movie,"Documentary, Music",United States,English,8.5,tt8716334,82.0,16.0,8.5,0,"Documentary, Music",springsteen on broadway
116,The Life Ahead,2020,13+,82/100,1,0,0,0,movie,Drama,Italy,"Italian, Spanish, Hebrew, Romanian",6.8,tt10627584,82.0,13.0,6.8,0,Drama,the life ahead
117,The Terminal,2004,13+,82/100,1,0,1,0,movie,"Comedy, Drama, Romance",United States,"English, Bulgarian, Spanish, Russian, Mandarin, German, French",7.4,tt0362227,82.0,13.0,7.4,0,"Comedy, Drama, Romance",the terminal
118,Scott Pilgrim vs. the World,2010,13+,82/100,1,0,0,0,movie,"Action, Comedy, Fantasy","United States, United Kingdom, Canada, Japan",English,7.5,tt0446029,82.0,13.0,7.5,0,"Action, Comedy, Fantasy",scott pilgrim vs. the world
119,Being Elmo: A Puppeteer's Journey,2011,7+,82/100,1,0,0,0,movie,"Documentary, Biography",United States,English,7.6,tt1787660,82.0,7.0,7.6,0,"Documentary, Biography",being elmo: a puppeteer's journey
120,Life of Brian,1979,18+,82/100,1,0,0,0,movie,Comedy,United Kingdom,"English, Latin",8.0,tt0079470,82.0,18.0,8.0,0,Comedy,life of brian
121,The Resistance Banker,2018,18+,82/100,1,0,0,0,movie,"Biography, Drama, War","Netherlands, Belgium",Dutch,6.9,tt4610378,82.0,18.0,6.9,0,"Biography, Drama, War",the resistance banker
122,How to Train Your Dragon 2,2014,7+,82/100,1,0,0,0,movie,"Animation, Action, Adventure","United States, India",English,7.8,tt1646971,82.0,7.0,7.8,0,"Animation, Action, Adventure",how to train your dragon 2
123,The Endless Trench,2019,18+,82/100,1,0,0,0,movie,"Drama, History","Spain, France, Canada",Spanish,7.2,tt7937168,82.0,16.0,7.2,0,"Drama, History",the endless trench
124,Even the Rain,2010,18+,82/100,1,0,0,0,movie,"Drama, History","Spain, Mexico, France","Spanish, Quechua, English",7.4,tt1422032,82.0,16.0,7.4,0,"Drama, History",even the rain
125,Love Actually,2003,18+,82/100,1,0,0,0,movie,"Comedy, Drama, Romance","United Kingdom, France, United States","English, Portuguese, French",7.5,tt0314331,82.0,18.0,7.5,0,"Comedy, Drama, Romance",love actually
126,Dear Ex,2018,18+,82/100,1,0,0,0,movie,"Comedy, Drama, Romance",Taiwan,Mandarin,7.3,tt8443704,82.0,18.0,7.3,0,"Comedy, Drama, Romance",dear ex
127,Braven,2018,18+,82/100,1,0,0,0,movie,"Action, Thriller","Canada, United States",English,5.9,tt5001754,82.0,18.0,5.9,0,"Action, Thriller",braven
